BSHspecies	ratio	min	max	phase	comparison	search_method
14-2_sp000403315	-7.18440156499999	-12.1579	-3.38983	dark	NAvFA	untargetted
14-2_sp000403315	-6.8989594585	-12.0709	-2.71154	light	NAvFA	untargetted
Eubacterium_J_plexicaudatum	-6.81495725449998	-11.5216	-2.60234	light	NAvFA	untargetted
1XD42-69_sp003612565	-6.63588560500001	-11.7541	-2.36436	light	NAvFA	untargetted
CAG-95_sp009917455	-6.4728314605	-11.7015	-2.00438	light	NAvFA	untargetted
UBA3282_sp003611805	-6.4488979572	-11.6234	-1.46187	dark	NAvFA	untargetted
COE1_sp000403215	-6.29599012114997	-11.3108	-1.72529	dark	NAvFA	untargetted
Dubosiella newyorkensis-A0A1U7NKD7	-6.1584586175	-11.1552	-1.68835	dark	FAvFT	targetted
Ventrimonas_sp003611875	-6.03538588184501	-11.3039	-1.27524	dark	NAvFA	untargetted
UBA3282_sp003611805	-5.87810372425	-11.0905	-1.04215	light	NAvFA	untargetted
Dubosiella newyorkensis-A0A1U7NP31	-5.852412024865	-12.4952	-0.749918	dark	FAvFT	targetted
Duncaniella dubosii-A0A4P7W1A3	-5.7534791275	-11.2261	-1.29233	light	FAvFT	targetted
Prevotella sp. CAG:1031-R5AP11	-5.62017920466299	-10.9243	-0.914877	light	FAvFT	targetted
Lactobacillus xujianguonis-A0A437ST59	-5.5153208378	-10.7986	-1.25115	dark	FAvFT	targetted
Lawsonibacter_sp000492175	-5.4921783324	-10.7091	-1.1669	dark	NAvFA	untargetted
Morganella morganii (Proteus morganii)-A0A8I0Q0T5	-5.48735667149999	-10.532	-1.28963	light	FAvFT	targetted
Eubacterium_J_plexicaudatum	-5.38621205550199	-11.6802	0.172916	dark	NAvFA	untargetted
CAG-95_sp009917455	-5.3794796828	-10.6027	-0.785072	dark	NAvFA	untargetted
Paramuribaculum intestinale-A0A2V1IYI9	-5.37260137385	-10.9947	-0.649099	dark	FAvFT	targetted
Bacteroides thetaiotaomicron-A0A7J5J9S5	-5.3433498605	-10.7582	-0.97943	dark	FAvFT	targetted
Faecalibaculum rodentium-A0A1Q9YLM7	-5.31452168050002	-10.4233	-0.888304	dark	FAvFT	targetted
Faecalibaculum rodentium-A0A140DWG5	-5.31452168050002	-10.4233	-0.888304	dark	FAvFT	targetted
Bacteroides faecium-A0A6H0KUZ2	-5.3041604702	-10.4867	-0.800912	dark	FAvFT	targetted
Bacteroides sp. CAG:754-R6DFK2	-5.3041604702	-10.4867	-0.800912	dark	FAvFT	targetted
Acutalibacter_muris	-5.25287630089999	-11.0457	-0.515692	light	NAvFA	untargetted
Enterocloster aldenensis-A0A413VM04	-5.18875131705	-10.1898	-0.727026	dark	FAvFT	targetted
