From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ORF)	EMBL
A0A6N3BBR0	A0A6N3BBR0	unreviewed	A0A6N3BBR0_9FIRM	"Linear amide C-N hydrolases, choloylglycine hydrolase family"	RTLFYP15_01296	[Ruminococcus] torques	370	RTLFYP15_01296	CACRUQ010000008;
A0A6N3AUL3	A0A6N3AUL3	unreviewed	A0A6N3AUL3_9FIRM	Choloylglycine hydrolase (EC 3.5.1.24)	cbh RTLFYP15_01083	[Ruminococcus] torques	325	RTLFYP15_01083	CACRUQ010000006;
V8BM28	V8BM28	unreviewed	V8BM28_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF1202_02748	[Ruminococcus] lactaris CC59_002D	62	HMPREF1202_02748	AZJE01000039;
V8C360	V8C360	unreviewed	V8C360_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	HMPREF1202_01648	[Ruminococcus] lactaris CC59_002D	327	HMPREF1202_01648	AZJE01000022;
B5CMZ6	B5CMZ6	unreviewed	B5CMZ6_9FIRM	"Linear amide C-N hydrolase, choloylglycine hydrolase family protein (EC 3.5.1.-)"	RUMLAC_00842	[Ruminococcus] lactaris ATCC 29176	327	RUMLAC_00842	ABOU02000027;
B5CRN9	B5CRN9	unreviewed	B5CRN9_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	RUMLAC_02140	[Ruminococcus] lactaris ATCC 29176	131	RUMLAC_02140	ABOU02000048;
B5CNA8	B5CNA8	unreviewed	B5CNA8_9FIRM	Choloylglycine hydrolase/NAAA C-terminal domain-containing protein	RUMLAC_00944	[Ruminococcus] lactaris ATCC 29176	51	RUMLAC_00944	ABOU02000028;
A0A414P478	A0A414P478	unreviewed	A0A414P478_9FIRM	Linear amide C-N hydrolase	DW672_07810	[Ruminococcus] lactaris	327	DW672_07810	QRHG01000017;
A0A943MCL3	A0A943MCL3	unreviewed	A0A943MCL3_9FIRM	Choloylglycine hydrolase (EC 3.5.1.24)	bsh KH758_04095	[Ruminococcus] lactaris	327	KH758_04095	JAHAFT010000034;
A0A3E4LQA4	A0A3E4LQA4	unreviewed	A0A3E4LQA4_9FIRM	Linear amide C-N hydrolase	DW116_01560 DXD17_08160	[Ruminococcus] lactaris	327	DW116_01560 DXD17_08160	QSQN01000019;QRMI01000003;
